	16S001	16S002	16S003	16S004	16S005	16S006	16S007	16S009	16S010	16S011	16S012	16S013	16S015	16S017	16S018	16S019	16S020	16S021	16S022	16S023	16S024	16S025	16S026	16S027	16S028	16S029	16S030	16S031	16S033	16S034	16S037	16S039	16S040	16S044	16S045	16S046	16S047	16S048	16S049	16S051	16S053	16S054	16S055	16S056	16S057	16S058	16S059	16S060	16S061	16S062	16S063	16S064	16S065	16S066	16S068	16S069	16S070	16S072	16S073	16S074	16S075	16S076	16S077	16S078	16S079	16S080	16S081	16S083	16S084	16S085	16S086	16S087	16S088	16S089	16S090	16S091	16S093	16S094	16S095	16S097	16S098	16S099	16S100	16S101	16S102	16S104	16S105	16S106	16S109	16S110	16S111	16S112	16S113	16S114	16S115	16S116	16S117	16S118	16S119	16S120	16SExtNeg1	16SExtNeg2	16SExtNeg3	16SMock1	16SMock2	16SMock3	16SPCRNeg1	16SPCRNeg2	16SPCRNeg3	16SPCRNeg4	16S043	16S050
ASV_15	0	0	0	0	0	0	0	0	38	0	6486	314	0	0	0	0	0	0	142	12898	0	0	0	3375	0	0	0	0	0	0	0	10454	12144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	33	46	232	122	0	0	0	0
ASV_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1427	0	0	0	0	0	0	0	0	0	0	0	0	0	1628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33986	0	0	0	0	0	0	0	0	751	0
ASV_17	0	47	32	0	0	0	0	472	1174	300	618	43	0	10	0	0	0	0	25	21	2555	3517	1853	779	0	27	20	31	0	0	0	192	0	76	76	118	200	816	413	602	692	951	1046	841	0	91	127	106	650	564	0	0	959	820	518	1638	25	0	45	56	796	486	385	811	705	1108	1275	0	0	0	0	0	4	0	495	92	0	318	301	0	0	0	0	0	0	258	111	732	286	28	0	0	0	17	0	305	634	546	394	399	0	0	0	0	0	0	0	0	0	0	365	1297
ASV_18	451	0	0	0	0	0	32	0	0	0	0	0	964	0	0	89	0	10544	0	0	0	0	0	99	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	229	192	578	229	262	2609	245	0	0	0	0	1464	209	146	288	194	322	7540	0	0	0	0	0	248	346	174	167	289	331	0	0	0	0	336	0	307	123	439	234	155	0	0	0	0	0	0	159	91	1270	288	0	0	0	0	296	0	418	768	761	199	240	0	0	0	0	0	0	0	0	0	0	0	288
ASV_19	0	0	0	0	0	0	0	0	0	0	1136	127	0	0	0	9	0	0	0	6	0	0	0	530	0	0	0	0	0	0	53	204	27	0	0	0	0	0	0	1313	1138	854	1769	1494	0	0	0	0	0	0	0	882	1551	2073	1241	1234	0	0	0	0	0	0	1751	2342	1704	2403	2458	0	0	0	0	0	0	0	647	102	163	387	372	0	0	0	0	0	0	381	207	453	330	0	0	0	0	0	0	344	635	599	271	427	0	0	0	0	0	0	0	0	0	0	0	1200
ASV_20	1750	2509	2967	1748	0	416	731	0	0	0	0	0	0	1600	698	1947	1162	0	0	0	0	0	0	0	514	2954	3515	1438	0	1507	0	0	0	86	102	136	199	618	288	0	0	0	0	0	0	126	163	87	391	441	0	0	0	0	0	0	0	0	181	143	352	221	0	0	0	0	0	0	0	0	0	0	31	56	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	50	28	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0
ASV_21	1750	2650	3265	1732	0	408	732	0	0	0	0	0	0	1525	426	2118	1209	0	0	0	0	0	0	0	782	3194	3946	1516	0	1347	0	0	0	0	0	0	85	422	197	0	0	0	0	0	0	0	0	0	259	271	0	0	0	0	0	0	0	0	0	0	235	145	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0
ASV_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2377	1616	4128	483	0	0	0	0	0	0	0	0	6832	4404	2883	0	0	0	0	0	0	0	0	59	372	2608	1929	0	0	0	0	0	0	0	0	42	27	38	0	0	0	0	0	0	0	0	0	48	47	32	0	0	0	0	0	0	0	97	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19282	0	0	0	0	0	0	0	0	0	0	1179	0	0	0	904	800	713	0	0	0	0	0	1128	0	0	0	558	485	0	0	0	0	729	0	0	0	1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	225	276	250	0	0	0	0	0	0	1571	0	222	224	0	412	0	0	0	0	0	0	331	216	177	273	389	0	0	0	0	0	0	0	2652	213	0	1793	1564	0	0	0	0	0	0	1925	846	1437	1191	0	0	0	0	0	0	786	1661	1487	2552	3013	0	0	0	0	0	0	0	0	0	0	0	236
