	ITS001	ITS002	ITS003	ITS004	ITS005	ITS006	ITS007	ITS008	ITS009	ITS010	ITS011	ITS012	ITS013	ITS014	ITS015	ITS016	ITS017	ITS018	ITS019	ITS020	ITS021	ITS022	ITS023	ITS026	ITS027	ITS028	ITS029	ITS030	ITS031	ITS033	ITS034	ITS037	ITS039	ITS040	ITS043	ITS044	ITS045	ITS046	ITS047	ITS048	ITS049	ITS050	ITS051	ITS052	ITS053	ITS054	ITS055	ITS056	ITS057	ITS058	ITS059	ITS060	ITS061	ITS062	ITS063	ITS064	ITS065	ITS066	ITS067	ITS068	ITS069	ITS070	ITS072	ITS073	ITS074	ITS075	ITS076	ITS077	ITS078	ITS079	ITS080	ITS081	ITS083	ITS084	ITS085	ITS086	ITS087	ITS088	ITS089	ITS090	ITS091	ITS092	ITS093	ITS094	ITS095	ITS097	ITS098	ITS099	ITS100	ITS101	ITS102	ITS103	ITS104	ITS105	ITS106	ITS107	ITS109	ITS110	ITS111	ITS112	ITS113	ITS114	ITS115	ITS116	ITS117	ITS118	ITS119	ITS120	ITSExtNeg1	ITSExtNeg2	ITSExtNeg3	ITSMock1	ITSMock2	ITSMock3	ITSPCRNeg1	ITSPCRNeg2	ITSPCRNeg3
ASV_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	10130	11052	0	0	0	0	0	0	0	0	0	0	0	8769	17515	0	0	0	0	0	0	0	4839	5955	5497	0	0	0	0	0	0	0	0	0	0	0
ASV_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	8	0	0	0	0	283	494	0	20	224	54	54	0	0	0	0	0	0	356	79	24	0	19	440	15163	7	0	0	0	0	0	0	1027	1303	379	123	0	3516	2906	1116	0	0	0	928	27	627	369	640	637	0	3237	4451	3974	0	0	67	1064	306	435	37	115	0	0	2271	3678	0	0	520	596	514	351	465	0	6055	0	0	0	0	0	0	0
ASV_13	1793	690	1293	1030	795	1352	795	0	0	0	0	0	0	0	328	881	166	968	1509	692	0	0	0	0	0	3014	0	14	3350	220	702	0	15519	898	0	0	0	0	0	0	0	22	0	0	142	18	11	0	0	0	12	0	0	0	67	0	0	0	41	0	0	0	0	0	0	0	0	0	11	0	28	22	357	0	0	0	2175	549	852	107	65	565	480	95	189	996	0	0	0	1782	1217	259	289	15	570	1032	25	3483	0	0	0	2265	0	398	414	336	223	357	0	0	0	0	0	0	0	0	0
ASV_14	0	77	0	104	0	0	43	986	710	170	211	0	12050	187	0	0	0	91	44	0	103	5662	145	0	0	8	0	0	0	0	0	136	26	0	0	0	0	0	0	0	0	1150	416	83	42	1544	1203	776	0	31	24	12	0	0	150	1093	555	0	0	226	288	0	0	0	0	0	0	0	1470	1066	1733	712	0	0	0	0	40	97	69	1622	157	1473	940	1778	511	0	0	0	0	35	0	34	517	361	1174	367	27	0	0	0	0	63	370	1409	1256	1532	427	649	0	494	0	0	0	0	0	0	0
ASV_15	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	62	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3812	1762	2186	751	0	733	0	0	0	0	0	0	0	0	3796	3334	2363	838	1181	0	0	0	0	0	0	0	2079	564	3644	3373	1672	1893	0	0	0	0	0	401	1036	546	250	732	618	552	0	0	0	0	0	0	0	905	816	715	794	600	0	0	0	0	0	0	0	0	1337	1289	1092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	0	0	16	0	0	23	15	0	0	0	0	0	0	143	0	0	0	90	45	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	2038	630	1136	1241	115	1459	17	0	0	232	0	0	14	1857	1055	1660	921	1605	3294	0	0	53	0	266	21	0	13277	129	726	700	3793	3469	0	0	28	63	202	0	626	264	0	0	0	0	12	0	13	27	24	23	0	263	800	622	11	18	52	25	0	10	0	0	0	0	815	158	38	0	0	0	0	27	35	0	0	0	0	0	0	0	0	0
ASV_17	0	0	0	26	0	0	25	0	0	0	0	0	0	0	0	0	0	20	33	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	1507	0	73	0	1805	1098	2125	0	0	0	0	0	0	0	5799	362	0	101	4968	1058	0	14	0	0	0	0	0	874	0	87	106	6692	6422	0	0	0	0	0	185	0	0	0	269	228	176	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	1205	0	0	0	0	0	0	1654	0	0	0	0	0	0	0
ASV_18	1657	2064	1757	2279	106	638	1180	0	0	0	0	0	0	0	0	58	0	165	346	0	0	0	0	0	0	55	0	0	31	308	196	0	0	0	951	0	1402	1478	668	150	454	0	0	0	0	0	0	0	1329	572	1147	1369	613	0	0	0	0	0	0	0	0	0	68	198	643	1471	1217	0	0	0	0	0	686	22	40	0	1335	1669	1147	0	0	0	0	0	0	0	127	27	0	1082	1013	0	0	0	0	0	0	0	0	118	97	1629	1485	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_19	935	1244	1562	1222	1498	1092	1645	0	0	0	0	0	0	0	0	2590	1707	382	1607	937	0	0	0	0	0	276	0	567	2189	1223	1730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	1258	0	0	0	1017	1618	1894	0	0	0	0	0	0	0	0	0	0	1162	1762	0	0	0	0	0	0	0	0	0	0	1521	2006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_20	0	0	0	0	0	0	0	0	436	506	210	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	1335	544	249	251	1576	1996	1897	0	0	0	0	0	0	0	2697	3803	0	446	484	0	0	0	0	0	0	0	0	953	1028	2928	2915	73	0	0	0	0	235	167	477	83	577	427	609	245	0	0	0	0	72	76	0	367	0	524	336	0	0	0	0	0	108	0	537	555	541	323	281	0	0	0	0	0	0	0	0	0
