ID,Beverage,Treatment,Day,SPC,APDA,Trial ,Sample_or_Control,Shelf_Life_Stage,Spoilage,citric,tartaric,malic,lactic,acetic,glucose,fructose,EtOH,Brix,pH
ITS037,Cider,Pasteurization + DMDC + NG,147,0.84509804,0,1,True Sample,End,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS039,Cider,HPP,126,0,0,1,True Sample,End,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS040,Cider,HPP + DMDC + NG,126,0,0,1,True Sample,End,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS043,Orange Juice,No Treatment,0,5.217483944,5.113943352,2,True Sample,Beginning,Spoiled,5.1,0.4,1.7,0,0.1,29.5,29.4,0.1,11.3,3.84
ITS044,Orange Juice,Pasteurization,0,1.77815125,0.301029996,2,True Sample,Beginning,Not spoiled,3.5,0.3,1.2,0,0.1,18.6,18.6,0,9.7,3.87
ITS045,Orange Juice,Pasteurization + SB + PS,0,2,0.77815125,2,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS046,Orange Juice,Pasteurization + DMDC + NG,0,1.954242509,0,2,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS047,Orange Juice,UV,0,4.004321374,4.250420002,2,True Sample,Beginning,Not spoiled,4.8,0.4,1.6,0,0.1,25.8,25.9,0.1,10.7,3.84
ITS048,Orange Juice,HPP,0,0,0,2,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS049,Orange Juice,HPP + DMDC + NG,0,0,0,2,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS050,Cider,No Treatment,0,3.267171728,2.77815125,2,True Sample,Beginning,Not spoiled,0,0,2.3,0,0,18,40.7,0,12.9,3.8
ITS051,Cider,Pasteurization,0,1.77815125,0.301029996,2,True Sample,Beginning,Not spoiled,0.1,0,2.9,0,0,22.8,52,0,9.4,3.8
ITS052,Cider,Pasteurization + SB + PS,0,1.954242509,0,2,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS053,Cider,Pasteurization + DMDC + NG,0,1.84509804,0,2,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS054,Cider,UV,0,2.225309282,2.447158031,2,True Sample,Beginning,Not spoiled,0.1,0,2.8,0,0,22.4,50.8,0,9.9,3.8
ITS055,Cider,HPP,0,1.84509804,0,2,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS056,Cider,HPP + DMDC + NG,0,1.954242509,0,2,True Sample,Beginning,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS057,Orange Juice,No Treatment,14,6.875061263,6.462397998,2,True Sample,End,Spoiled,8.1,0.7,2.9,0,0.2,37.7,39.5,0.3,10.2,3.95
